"jc2660" "jc2661" "jc2662" "jc2663"
1110 988 854 1150
709 489 440 604
1662 1158 1029 903
3517 2705 2201 2271
1253 869 731 918
1820 1347 1303 1457
1666 1057 970 901
6312 5167 4406 4824
2133 1379 1191 1454
813 571 565 593
4112 3011 2704 3103
2687 2546 2085 2624
2097 1707 1662 1707
2008 1810 1487 1650
3132 2932 2430 3061
903 714 565 670
69 17 32 39
589 426 381 497
27 15 19 19
1778 1237 1112 1367
1129 887 803 917
2440 1861 1516 1676
1673 1331 965 1452
141 69 65 96
1569 1086 985 1105
52 41 58 43
614 366 477 507
2777 2194 1781 2084
536 321 346 447
60 27 31 30
3109 2264 2103 2489
65 42 43 48
368 268 289 337
475 381 420 376
1933 1603 1450 1670
2461 2088 2021 2074
2624 2111 1948 1864
139 161 145 197
1762 1493 1349 1402
45 29 22 17
995 637 592 741
2481 1943 1722 1859
89 53 64 42
2441 2161 1930 2080
3350 2515 2054 2379
688 512 466 295
3508 3276 2843 3325
1710 1185 1216 1104
2148 1461 1314 1397
50 27 41 14
5939 3918 3204 2600
1672 1073 949 1051
1908 1441 1283 1510
3911 2460 2159 2165
75 60 66 84
2890 2142 1793 1864
168 77 68 61
2194 1508 1364 1541
3214 2414 2178 2394
352 171 168 208
94 51 61 55
77 48 53 68
1913 1546 1425 1824
1041 818 751 938
560 472 472 640
2877 2237 1801 1798
1453 1280 1164 1180
2493 2341 2022 2533
75 32 52 42
99 49 62 64
876 663 632 907
127 45 53 50
444 283 325 353
1793 1285 1082 846
544 394 417 502
45 33 23 47
186 126 100 136
3338 2961 2638 2669
45 26 36 22
45 29 26 22
2890 2269 1969 2297
141 88 94 112
53 39 50 54
2927 2330 1951 2254
205 115 110 125
121 56 60 69
409 255 290 282
842 474 450 544
86 29 27 34
2194 1733 1420 1410
5370 4532 3493 4002
1237 968 931 1099
2695 2095 1792 1919
1801 1125 1036 1190
251 179 188 197
1668 1418 1253 1719
2899 1976 1885 2092
962 603 698 740
2055 1554 1357 1645
2839 2195 1978 2184
1052 812 729 938
216 174 191 207
2004 1381 1251 1376
316 276 271 360
1027 809 746 713
195 136 161 131
1395 1128 884 909
270 180 180 197
3300 2279 2131 1954
405 325 303 342
2010 1405 1469 1603
3922 2734 2153 2379
4375 3657 3010 3336
47 37 33 51
319 268 246 330
1727 1368 1251 1449
21 6 11 21
1903 1564 1403 1707
298 225 232 267
1630 1270 1234 1270
583 496 421 519
1283 1090 972 795
1404 1211 1001 1248
2047 1573 1277 1423
2100 1755 1400 1644
1117 922 863 1055
659 486 396 550
24 23 10 19
652 559 469 591
2208 1891 1555 1788
579 464 455 559
539 378 406 434
1149 917 830 1064
1893 1418 1347 1264
1529 1120 963 936
6839 5377 4604 4281
1973 1642 1420 1625
43 19 3 10
4051 3497 3060 3511
162 168 129 146
3241 2615 2323 2279
518 398 447 509
1885 1537 1437 1588
1808 1403 1276 1418
2025 1578 1420 1565
2580 2373 1952 2366
3508 3066 2567 2845
2308 1902 1705 2000
98 35 43 37
1541 1282 1080 1179
3670 3201 2802 3245
2810 2082 1762 1627
1280 941 868 1067
551 377 417 461
2609 2136 1753 2078
1135 772 722 841
734 473 476 527
2446 1964 1771 1977
88 88 84 108
76 46 44 32
5549 3744 3042 4093
2233 1755 1576 1683
2721 2673 2317 2365
117 100 103 72
1698 1393 1292 1270
71 62 46 67
4841 3885 3686 4248
475 339 296 331
51 28 40 50
1254 857 836 953
3197 2534 2221 2488
3168 2590 2420 2749
1340 1093 926 1082
2776 2116 2087 2169
98 58 73 88
490 359 314 274
1422 989 866 839
398 388 340 426
40 35 22 26
35 12 28 26
2774 2110 2012 2154
2321 1982 1786 1929
140 87 92 94
2605 2122 1919 1959
2295 1701 1378 1545
315 214 201 250
2758 2099 1731 2030
109 61 30 18
47 23 31 28
1645 1343 1279 1444
574 501 443 582
3278 2205 1994 2093
53 13 28 27
235 151 173 227
42 25 27 39
57 31 40 54
1475 1183 1108 1108
907 691 686 832
86 31 39 44
1552 1458 1118 1280
1333 972 941 1186
356 309 278 339
3953 2872 2545 2685
1137 977 790 884
3259 2656 2241 2216
3246 2706 2344 2175
231 163 195 236
77 48 52 36
2654 2611 2536 2908
1181 911 832 937
1988 1760 1642 1788
1364 1014 879 1089
1151 875 774 582
487 362 367 396
2497 1930 1654 1855
32 26 23 8
479 291 281 318
69 30 52 51
1476 1199 948 1046
2292 1718 1694 1790
2037 1564 1363 1642
2494 2028 1952 2426
41 15 21 26
99 73 43 76
113 56 65 68
41 23 21 23
133 108 97 139
409 316 262 340
880 672 686 632
1885 1389 1308 1508
3185 2788 2487 2823
702 541 590 697
2285 1600 1380 1646
895 683 724 652
2506 2026 1882 2077
3747 2778 2441 2326
3388 3163 2779 3294
872 624 589 621
2008 1651 1445 1748
747 565 454 544
3732 2795 2506 2796
366 233 230 149
149 135 140 215
2658 2257 2122 2413
217 180 163 191
484 332 269 308
981 554 568 644
2471 1725 1659 1951
2538 1761 1513 1929
2039 1725 1400 1509
444 266 306 264
2567 1982 1643 2083
89 31 47 45
98 21 25 26
2314 1685 1509 1486
2592 2122 1907 2236
869 570 469 549
1724 1161 1103 1310
1594 1366 1323 1614
4171 3303 2917 3471
719 403 465 528
2411 2255 1987 2633
1785 1439 1331 1558
1311 1187 1019 1240
287 193 218 272
856 521 462 535
819 477 416 458
115 48 58 48
2199 1572 1314 1461
4583 2913 2536 2682
222 150 136 226
946 759 717 903
414 248 197 259
113 88 96 121
1424 1003 1004 1097
2827 2494 2285 2642
32 29 12 15
230 175 148 163
1995 1717 1424 1510
965 656 573 657
306 212 208 255
2890 2134 1773 1916
1736 1542 1338 1562
1216 909 892 871
3528 2419 2292 2355
1371 801 678 724
3798 3096 2460 2950
5018 3669 3096 2955
1097 728 678 642
