"jc2656" "jc2657" "jc2658" "jc2659"
342 390 994 438
102 149 397 286
34 71 150 98
804 1075 2573 1541
609 987 2049 1724
2 10 21 18
579 812 1996 1149
28 24 47 21
17 25 50 28
142 190 360 263
155 196 415 247
600 721 1765 1074
1069 1603 3651 2945
342 433 977 677
468 711 1650 1048
322 391 979 649
29 21 13 16
470 658 1514 1080
97 107 75 48
698 937 1950 1004
234 230 494 404
357 498 1099 908
703 1158 2459 2199
366 478 832 603
71 87 145 111
470 537 1231 587
54 36 21 17
62 73 194 175
232 323 758 623
36 23 96 37
365 652 1305 891
36 39 117 71
756 921 1852 1184
30 23 10 2
123 134 297 227
66 80 53 20
1484 1983 4128 2702
35 39 20 13
910 1466 3172 2120
11 20 44 29
587 880 1506 1319
51 48 16 14
536 864 1728 1222
63 67 161 140
233 361 920 648
152 120 305 275
224 261 847 285
373 657 1123 870
611 1022 1745 1187
587 783 1696 1209
174 281 787 726
95 126 348 227
116 204 441 325
580 790 1815 1138
92 141 396 403
220 300 725 523
302 404 1099 508
263 316 727 436
1278 1894 4442 3334
436 665 1556 1050
956 1508 3394 2496
35 35 78 78
715 967 2043 1089
108 99 66 38
165 207 416 336
441 546 1246 887
370 498 1156 916
482 883 1789 1344
423 704 1824 1406
750 1090 2537 1984
497 829 1858 1200
1278 1992 4152 3169
622 759 1820 975
261 340 790 655
75 159 360 426
625 993 1973 1224
208 302 629 384
128 128 340 214
505 741 1572 939
17 20 60 58
78 106 78 40
1442 1889 3704 2252
440 706 1582 1141
661 895 2353 1441
370 509 1319 484
8 7 38 44
1145 1640 3640 2432
78 134 349 242
1226 1908 3677 2550
632 984 2263 1614
226 383 852 573
637 876 1778 1157
181 210 361 271
260 292 857 287
74 135 296 313
637 957 2068 1221
106 91 57 36
585 790 1824 1222
50 37 83 45
533 790 1933 1476
442 658 1359 577
84 155 270 248
536 850 1825 1526
414 547 1327 892
106 104 396 301
787 983 1961 1398
25 27 105 83
4 6 31 16
279 371 935 377
186 250 649 487
25 38 44 22
339 391 1156 681
434 568 1168 887
93 124 241 167
764 1045 2297 1603
275 352 843 390
661 1037 2255 1554
739 908 2189 985
28 51 143 109
517 827 2158 1865
240 327 741 425
390 575 1400 1187
248 280 742 509
179 176 573 174
130 169 343 222
397 538 1573 1055
206 320 527 379
191 447 1064 876
565 776 1776 1267
413 695 1575 1100
588 991 2030 1645
13 23 75 57
56 81 232 218
264 298 639 358
345 638 1353 996
605 1084 2446 1875
144 230 592 451
409 549 1240 790
185 199 536 282
567 851 1797 978
848 1397 2894 1723
670 1186 2773 2266
138 176 476 226
416 486 1346 872
118 176 455 271
831 1228 2861 2445
89 63 171 70
30 31 122 76
496 808 2122 1053
43 56 92 63
75 91 166 96
215 161 527 279
1146 1518 3224 2203
591 769 1484 807
107 112 258 143
774 1208 2263 1608
20 14 31 8
442 556 1307 645
535 803 1874 1477
236 365 565 442
606 792 1249 855
1663 2553 4935 3509
177 174 371 325
674 1103 2244 1650
356 497 1197 819
205 348 1034 745
51 59 136 106
149 190 417 226
160 170 371 166
40 34 54 34
491 581 1350 533
993 1392 2741 1555
168 251 596 585
75 67 188 120
16 23 60 43
259 290 766 435
95 117 79 52
643 978 2166 1654
29 35 128 66
454 771 1631 1092
257 218 510 321
57 65 140 125
701 900 1892 930
71 77 58 36
519 740 1473 1034
240 298 742 252
804 1076 2243 1674
306 286 612 326
851 1150 2800 1686
1062 1339 3059 1643
173 166 424 240
439 557 1203 834
770 1111 1858 1035
222 243 542 381
338 465 1159 528
1209 1709 3671 2810
477 589 1241 661
159 170 476 368
3 1 15 15
56 64 198 192
186 212 612 374
168 215 423 278
424 699 1534 1177
530 860 1780 1364
67 109 189 102
561 646 1505 748
31 45 17 15
533 635 1664 1155
241 407 935 845
52 40 104 89
21 23 66 43
81 169 296 227
7 15 22 3
112 175 548 304
21 20 68 41
9 14 21 23
107 178 485 355
41 29 101 101
1796 2824 5146 3599
769 1324 2950 2002
191 225 536 310
62 41 190 115
676 805 1887 1558
391 588 1349 819
393 598 1312 977
760 956 2291 1325
41 22 106 85
483 675 1544 1037
1214 1758 3965 1974
485 742 1806 1624
15 17 36 25
460 707 1603 1163
744 1108 2555 1126
300 355 938 655
42 43 108 49
326 450 1006 713
503 750 1705 1486
173 267 526 436
185 231 543 416
93 57 305 102
495 649 1437 1044
152 169 422 307
651 1028 2165 1222
687 1281 2443 2070
42 63 192 195
421 627 1571 964
265 358 964 593
425 746 1401 1016
1018 1478 2998 1540
533 763 1808 1122
564 1049 1917 1294
22 39 34 18
197 230 450 322
9 30 48 31
57 73 191 173
224 238 858 404
310 435 999 484
566 821 1724 1118
17 15 57 35
669 1180 2537 2147
14 22 70 59
401 733 1592 1141
52 69 210 241
10 18 33 34
245 330 781 459
715 1121 2889 1912
227 392 1003 593
1303 2075 4592 3393
292 320 610 315
114 108 339 241
19 29 86 65
162 188 541 258
42 13 23 2
337 597 1509 1118
141 170 484 280
95 172 402 321
133 146 402 246
140 147 411 183
157 192 382 306
398 497 1240 712
524 761 1755 1461
3 20 45 47
818 1333 3147 2308
421 746 1535 1212
345 517 1143 434
332 561 1223 889
262 349 879 617
296 390 1210 492
210 333 927 789
48 48 177 163
178 344 747 769
123 139 297 84
443 791 1689 1435
664 1106 2469 1693
86 135 281 204
704 1113 2195 1578
579 1042 2177 1756
326 449 1057 752
58 60 154 100
429 561 1353 856
6 9 33 14
1097 1400 2870 1760
439 743 1692 1278
4 15 43 32
